"","b0","bwp.surfT"
"Jan",-4.84775150816799,0.257125895134298
"Feb",-7.6335675479531,0.199758675551709
"Mar",-5.33003905252674,0.297171204566239
"Apr",-1.85394303521964,0.368336321529361
"May",2.41544050964232,0.700551480002138
"Jun",4.15455100207238,0.655672429912434
"Jul",5.98376708574649,0.570882420879931
"Aug",6.54708307632265,0.478567212186511
"Sep",2.25436065522701,0.680458284103953
"Oct",0.724878661665595,0.496436920097735
"Nov",-0.791484878509611,0.275776139924012
"Dec",-1.28795006307468,0.421880003862048
