"","b0","tun.airT"
"Jan",0.454974528684728,1.09368238479231
"Feb",-1.47574302727361,1.00417811396274
"Mar",2.39748203755746,1.17240212725945
"Apr",1.66641065321053,1.13854920047811
"May",0.685073689817129,1.73182406923211
"Jun",-0.501872707985139,1.50760826282801
"Jul",-4.01310563009315,1.66985533014706
"Aug",-3.10005659604346,1.53400937078763
"Sep",-0.446037819405553,1.27884435400802
"Oct",-0.70705629123546,1.46103288952407
"Nov",-0.935833438219111,1.10466962446639
"Dec",0.196313720012287,1.08807276943538
