"","b0","gf.soilT"
"Jan",-2.62537047786091,0.0032963436785136
"Feb",-1.8063474886639,0.191767126543429
"Mar",-0.100556766719069,0.434569256838721
"Apr",-1.011426881748,0.159889290935944
"May",2.05156818644442,2.20244029003986
"Jun",5.72541599093912,0.958586669743378
"Jul",4.61252919139716,0.936287353060675
"Aug",2.05107180330272,1.13624700297256
"Sep",1.45586530918938,1.37181099735586
"Oct",-0.630477417720602,0.680785539734979
"Nov",-2.45360691592917,-0.0773308423216096
"Dec",-4.75325120248457,-0.326514731824706
