"","b0","hf.grdT"
"Jan",-2.75364114592946,0.624839239918751
"Feb",-1.68285380049533,0.712598429148778
"Mar",-2.49812592296681,0.584600307130318
"Apr",-0.544662881117483,0.708534526086888
"May",0.70765237090644,0.808648783427121
"Jun",2.29436112797724,0.77926644964668
"Jul",1.97008738372183,0.815200642931449
"Aug",0.158344788983515,0.957301635410295
"Sep",-0.110606819427461,0.964702353009763
"Oct",-0.606015933498766,0.891100946553771
"Nov",-2.60507327394352,0.48007583975724
"Dec",-4.51517588822782,0.372209494413085
