"","b0","d2.neg150"
"Jan",-0.0610222399660582,0.0102663214753163
"Feb",-0.00784119866630631,0.151676794000977
"Mar",0.301752504685276,0.287246794659709
"Apr",0.164107199448052,0.309586219725483
"May",-0.279096177009539,0.122717467654251
"Jun",-0.321437431899232,0.017868827219777
"Jul",-0.335779413323799,-0.0480511503226553
"Aug",-0.325648595586794,-0.108174326628344
"Sep",-0.459986092639006,-0.444183401028905
"Oct",-0.536960182961874,-0.553697926832243
"Nov",-0.204921022955161,-0.160100943656287
"Dec",-0.156227383806056,-0.0500174090098315
