"","b0","d2.surfT","D6.airT"
"Jan",0.301460074351401,0.287455118380019,0.00478955014000636
"Feb",0.230608828042296,0.370856994987385,-0.0053121632373358
"Mar",-0.995928048664678,0.402993867588534,-0.0224153260477872
"Apr",0.187683869467816,0.514259344170383,0.0164176821961942
"May",0.509114824556208,0.449448342714018,0.0623484799961561
"Jun",0.746572091701088,0.141141501689852,0.783139274979541
"Jul",2.42307415748622,0.144836325087881,0.583947162858531
"Aug",2.27725314369836,0.067292532860655,0.562646075854157
"Sep",1.10770052175214,0.310861943055405,0.302440820228581
"Oct",0.0534199781020072,0.0697287865264839,0.0371698646892704
"Nov",-0.0668389611605034,0.0555587593530981,0.0215207981359098
"Dec",-0.29379063726816,0.114014491143435,0.0129094928786373
