"","b0","gf.grdT"
"Jan",-0.851044864688042,0.308128410464054
"Feb",-1.41206970747429,0.22627166353137
"Mar",-1.45697281432131,0.228227467238693
"Apr",-0.494863925389081,0.291002934105302
"May",-0.244435759808451,0.350342894746774
"Jun",-0.651024396751891,0.656038069170069
"Jul",0.642483283109733,0.610874937094786
"Aug",1.98486374238705,0.516236686197306
"Sep",0.545916768443516,0.685488113520953
"Oct",-0.117766834636149,0.351246839957637
"Nov",-0.603043141531818,0.313315688000968
"Dec",-1.00891552564841,0.258928528608835
