"","b0","gf.airT"
"Jan",-5.83978325330085,0.423209796605391
"Feb",-5.70075737969702,0.322262464929881
"Mar",-6.15564465728457,0.270487492995058
"Apr",-2.93618472903006,0.381905201016548
"May",-0.0343580964265133,0.569766899224836
"Jun",1.37251683019289,0.80839468138217
"Jul",2.10256087909725,0.783429964386342
"Aug",0.672637665841948,0.870127175809296
"Sep",0.12575550182701,0.64452074686308
"Oct",-1.05851748744169,0.369878872026716
"Nov",-2.0681148993312,0.402806903647058
"Dec",-3.90193424718883,0.405599209329956
