"","b0","bp.neg150","hf.neg5","hf.neg2.5","hf.surfT","hf.air"
"Jan",0.283376858856932,0.631193821155457,1.18779706543411,0.461720268665945,-1.35337553871817,-0.0218068513372787
"Feb",-0.300599452134672,0.977899388434967,1.06858448167464,0.968301275794914,-1.6969572980708,-0.0301623245076091
"Mar",-1.81897903243988,0.970651032053145,1.03757312782922,-0.247654153959724,-0.654422205962488,-0.0100719689866663
"Apr",-2.45518686616411,0.732418893775037,-0.0744333734334264,0.327411044880309,-0.0982943536663205,-0.0346544426020391
"May",-1.81872693208516,0.813895788495979,0.00288541352506273,0.0387499224150539,0.0859803392333356,-0.039821068089187
"Jun",-0.698380079336433,0.861934498391693,-0.0214438476000836,0.0176060924222569,-0.0273196803333028,0.0477771715689233
"Jul",-0.355704424259009,0.920622598472876,0.0170872821973281,0.0160624154181173,-0.0587831126333728,0.0343831197412454
"Aug",-0.372617916823932,0.513685279401533,-0.00278421241735753,0.000644031178206082,-0.0221015100992622,0.0309018102704719
"Sep",-0.25143997282366,0.651673888685804,-0.0273339357608758,0.022373468449906,-0.0191982046591619,0.0302871276767766
"Oct",-0.290975153190342,0.582455840685599,-0.0169268591477737,0.00440643236464652,0.00678949004329222,0.00520518318532857
"Nov",-0.244343272128086,0.67039736558411,0.163485095062931,0.0052492676986315,-0.126484925810496,-0.00386636740738674
"Dec",-0.955430327742027,-2.17669640343365,0.670368346934816,0.04068852974242,-0.500743673033488,-0.0117148332058464
